A1,A2,A3,A4,class
0,0,0,0,1
0,0,0.25,0.25,2
0,0,0.5,0.5,2
0,0.176074,0.75,0.75,2
0.074675,0.885993,0.75,1,2
0.354729,0,1,0.75,2
0,0.25,0,0.25,1
0,0.25,0.25,0.75,2
0,0.25,0.75,0.5,2
0,0.25,0.75,0.75,2
0,0.25,1,0.75,2
0,0.5,0.25,0,0
0,0.5,0.25,0.75,2
0,0.5,0.642414,1,2
0.903327,0.75,0,0.5,0
0,0.75,0.25,0.25,1
0,0.75,0.5,1,2
0,0.75,0.75,1,2
0,1,0,0.25,0
0,0.768548,0,1,1
0,1,0.5,0.75,2
0,1,0.5,1,2
0,1,0.75,0.75,2
0.25,0,0.25,0.25,2
0.25,0,0.5,1,2
0.25,0.25,0,0.5,0
0.25,0.25,0.274628,0.75,1
0.25,0.25,0.25,0,0
0.25,0.440571,0.25,0.5,2
0.25,0.078327,0.5,0.25,2
0.25,0.25,0.75,0,1
0.25,0.25,1,0.5,2
0.25,0.5,0.25,1,2
0.660215,0.5,0.5,0.5,2
0.25,0.5,1,0.75,2
0.25,0.75,0,0.25,0
0.25,0.75,0.5,0.25,0
0.25,0.133051,0.75,0.25,1
0.25,0.75,0.75,0.75,2
0.25,0.75,1,0.5,2
0.25,0.75,1,0.75,2
0.25,0.75,1,1,2
0.25,1,0.25,0.25,0
0.5,0,0.25,0,0
0.5,0,0.25,0.75,2
0.5,0,0.25,1,2
0.5,0,0.5,0.25,2
0.5,0,0.75,1,2
0.5,0,1,0,2
0.5,0,1,0.5,2
0.5,0.25,0,0,0
0.5,0.25,0.25,0,0
0.5,0.25,0.25,0.5,1
0.5,0.25,0.395596,0.25,2
0.5,0.25,1,0,0
0.5,0.25,1,0.75,2
0.5,0.5,0.25,0,0
0.5,0.5,0.25,1,2
0.5,0.367208,0.5,0.5,1
0.5,0.75,0,0.25,0
0.5,0.75,0.5,0,0
0.5,0.75,0.5,0.5,0
0.5,0.75,0.5,0.75,1
0.5,0.75,0.5,1,2
0.5,0.75,0.75,0,0
0.5,0.75,0.75,0.25,0
0.5,0.75,1,0,0
0.5,1,0.75,0.5,0
0.75,0,0,0.5,0
0.75,0,0.25,1,2
0.75,0,0.5,0.25,2
0.75,0,0.5,0.5,2
0.75,0,0.75,0.25,2
0.75,0,0.75,1,2
0.75,0,1,0.75,2
0.75,0.25,0,1,0
0.75,0.25,0.25,0.158585,0
0.75,0.25,0.5,0.75,2
0.75,0.25,0.75,0,0
0.75,0.25,0.055826,0,0
0.75,0.5,0.25,0.5,0
0.75,0.5,0.25,0.75,0
0.75,0.5,0.5,0.5,0
0.75,0.5,0.75,0.081113,0
0.961362,0.5,0.683235,0.75,2
0.75,0.840635,1,0,0
0.75,0.5,1,0.25,0
0.75,0.5,1,0.141647,2
0.75,0.75,0.25,1,0
0.75,0.75,1,0.75,2
0.75,1,0.25,0,0
0.75,1,0.75,0.5,0
0.886097,1,1,0,0
0.75,1,1,0.5,0
0.75,1,1,1,2
1,0,0.25,0.25,0
1,0,0.5,0.790762,2
1,0,0.75,0.25,2
1,0,0.75,1,2
1,0,1,0.710489,2
1,0.25,0,0.75,0
1,0.25,0.25,0.5,0
1,0.25,0.75,0,0
1,0.25,1,0,0
1,0.5,0.5,0,0
1,0.5,0.75,0.25,0
1,0.5,1,0.75,2
1,0.75,0,0.25,0
1,0.75,0.25,0,0
1,0.75,0.25,0.5,0
1,0.75,0.633413,0.5,0
1,1,0,1,0
1,1,0.25,0.75,0
1,1,0.75,0,0
1,1,0.75,0.25,0
1,1,0.75,0.5,0
0,0.75,0.25,0,0
0,1,0.018623,0.25,2
0.25,0.75,0.25,0.25,0
0.25,0.75,0.75,0.5,2
0.5,0.5,0,1,0
0.5,0.5,0.25,0.02581,0
0.75,0.25,0.75,0.5,2
1,0.5,1,0,0
1,0.75,0.25,0.75,0
0,0,0,0.75,2
0,0,0.5,1,2
0,0,0.75,0,2
0,0,1,0.25,2
0,0.25,0,0.75,2
0,0.25,0.25,1,2
0,0.25,0.75,0,2
0,0.25,0.75,1,2
0,0.25,1,0.25,2
0,0.5,0,0,0
0,0.5,0,0.75,2
0,0.5,0.5,0,1
0,0.5,0.75,1,2
0,0.5,1,0.923901,2
0,0.75,0,0,0
0,0.75,0.25,0.5,2
0,0.75,0.25,0.75,2
0,0.75,1,0.75,2
0,1,0,0.5,0
0,1,0.25,0.25,0
0,1,0.25,0.75,2
0,1,0.5,0.5,2
0,1,1,0,1
0,0.013069,1,0.277679,2
0.25,0,0.25,0.75,2
0.25,0,0.75,0.75,2
0.25,0,1,0,2
0.25,0,1,1,2
0.25,0.25,0,0,0
0.25,0.25,0,0.25,0
0.25,0.25,0.5,0.5,2
0.25,0.25,1,0,2
0.54723,0.25,1,0.25,2
0.25,0.5,0,0.75,0
0.25,0.5,0,1,0
0.25,0.295091,0.5,0,0
0.25,0.5,0.5,0.25,1
0.25,0.5,0.5,1,2
0.468219,0.884089,0.75,0.5,2
0.25,0.5,0.75,1,2
0.25,0.5,1,0,0
0.25,0.75,0,0,0
0.25,0.75,0,1,0
0.25,0.75,0.5,1,2
0.25,1,0.25,0.5,0
0.25,1,0.5,0.5,0
0.25,1,0.75,1,2
0.25,1,1,0.25,1
0.25,1,1,1,2
0.5,0,0.5,0.5,2
0.5,0,0.75,0,2
0.5,0,1,1,2
0.5,0.25,0,0.25,0
0.5,0.25,0.5,0.5,2
0.5,0.25,0.75,0.5,2
0.5,0.5,0,0,0
0.5,0.75,0.25,0.5,0
0.5,0.75,0.75,1,2
