FirstPerson,InnerThinking,ThinkPositive,ThinkNegative,ThinkAhead,ThinkBack,Reasoning,Share_SocTies,Direct_Activity,Interacting,Notifying,LinearGuidance,WordPicture,SpaceInterval,Motion,PastEvents,TimeInterval,ShiftingEvents,Text_Coverage,Genre,Counter,class
0.009267,0.125471,0.154062,0.10855,0.355873,0.206357,0.077313,0.208554,0.093555,0,0.132593,0.273907,0.18611,0.092962,0.090564,0.238626,0.187678,0.236077,0.262377,0.600311,0,101
0.014743,0.109598,0.099466,0.106872,0.332559,0.320249,0.116454,0.234768,0.045079,0.01441,0.091471,0.190429,0.173036,0.074619,0.071246,0.170888,0.172723,0.263721,0.177341,0.661159,0.001325,101
0.003956,0.120506,0.076534,0.170599,0.23822,0.270263,0.123393,0.266701,0.031823,0.012566,0.229505,0.252108,0.213664,0.074151,0.042248,0.205547,0.218525,0.236455,0.292706,0.576561,0.002311,101
0,0.210722,0.204144,0.351278,0.167045,0.287794,0.295668,0.270809,0.03832,0.021321,0.165368,0.138707,0.099404,0.071811,0.020811,0.150135,0.176909,0.216999,0.25753,0.53647,0.003225,101
0.026294,0.168911,0.091309,0.092074,0.372469,0.230311,0.154099,0.159564,0.084228,0.026456,0.191762,0.300402,0.104146,0.091302,0.088948,0.128219,0.20579,0.288173,0.248191,0.589595,0.004726,101
0.02688,0.076019,0.176017,0.143663,0.299558,0.163238,0.135841,0.196667,0.058707,0.03709,0.149218,0.348916,0.222491,0.105991,0.067547,0.138595,0.152295,0.250571,0.292805,0.602725,0.006039,101
0.018281,0.084718,0.152568,0.159735,0.294688,0.235093,0.125858,0.269537,0.042744,0.030542,0.261722,0.206787,0.15187,0.113536,0.091876,0.120689,0.142298,0.28176,0.217713,0.626915,0.007538,101
0,0.279344,0.132852,0.203404,0.452738,0.179124,0.167492,0.163456,0.024814,0.009798,0.2491,0.116238,0.175145,0.146147,0.105886,0.057412,0.13326,0.220814,0.252421,0.545901,0.007658,101
0.015122,0.065983,0.078018,0.16536,0.207103,0.314356,0.055229,0.148388,0.017615,0.003478,0.200815,0.188879,0.189709,0.197575,0.087693,0.217592,0.290433,0.110487,0.179559,0.678161,0.010872,101
0.004181,0.155927,0.056629,0.148602,0.36858,0.253931,0.151204,0.221081,0.100913,0.00625,0.208569,0.246207,0.144999,0.07518,0.065672,0.180332,0.2088,0.157494,0.246019,0.609434,0.010992,101
0.025949,0.124756,0.154472,0.108398,0.177689,0.039396,0,0.056956,0.024559,0,0.245731,0.122232,0.187935,0.384842,0.298446,0.280032,0.110887,0.303998,0.203846,0.581845,0.01166,101
0.044011,0.140664,0.236732,0.221364,0.158549,0.085302,0.127178,0.074397,0.030133,0.014698,0.132508,0.274004,0.098402,0.328133,0.188253,0.26956,0.208085,0.285234,0.277575,0.545932,0.012035,101
0.055464,0.204468,0.202468,0.140408,0.137,0.127105,0.123639,0.026934,0,0.014079,0.225087,0.156006,0.169791,0.353893,0.218271,0.280583,0.052257,0.253639,0.219834,0.610105,0.014672,101
0.017567,0.068387,0.125289,0.168356,0.25974,0.172577,0.131216,0.205828,0.041076,0.010041,0.166698,0.264574,0.232815,0.135987,0.210339,0.189004,0.114814,0.301226,0.273484,0.602452,0.015695,101
0.03594,0.116239,0.226899,0.120852,0.181595,0.169437,0.193195,0.155574,0.037595,0.017673,0.23956,0.238481,0.131189,0.153405,0.171121,0.2467,0.129878,0.390309,0.274848,0.551389,0.01547,101
0.023208,0.052415,0.224509,0.074139,0.374719,0.042283,0.107628,0.05194,0.070288,0.017347,0.167488,0.190995,0.260951,0.245039,0.148718,0.075973,0.11879,0.235642,0.17549,0.67652,0.020336,101
0.039045,0.078301,0.277747,0.039686,0.245763,0.089816,0.009145,0.095326,0.082864,0.025646,0.164076,0.142285,0.306849,0.128543,0.145688,0.11312,0.175771,0.317768,0.168609,0.689789,0.022117,101
0.010016,0.05129,0.280979,0.031996,0.275351,0.12165,0.022118,0.106472,0.028438,0,0.138184,0.173455,0.308904,0.053641,0.062922,0.076763,0.228191,0.237832,0.121276,0.729898,0.024866,101
0.013644,0.058434,0.046028,0.191116,0.122748,0.133854,0.082283,0.083388,0.099336,0.006276,0.158917,0.219868,0.291615,0.216817,0.076488,0.239963,0.175579,0.402208,0.254061,0.611906,0.022073,101
0.004127,0.081281,0.101134,0.196099,0.115254,0.200493,0.058098,0.101594,0.007811,0.003084,0.202927,0.21555,0.230272,0.061569,0.108888,0.369894,0.197059,0.354806,0.239346,0.601481,0.022902,101
0.020113,0.067224,0.103768,0.236561,0.126067,0.277599,0.080756,0.120716,0.044993,0.008883,0.19405,0.194552,0.22557,0.166472,0.089597,0.280272,0.124403,0.443162,0.274063,0.532991,0.021362,101
0.004407,0.102997,0.071049,0.175968,0.246145,0.15388,0.099749,0.239161,0.016683,0,0.16213,0.242382,0.275066,0.155092,0.138423,0.258745,0.14166,0.162375,0.266674,0.642284,0.02703,101
0.015088,0.1017,0.120009,0.14259,0.162408,0.156533,0.09024,0.219487,0.02856,0.015976,0.15479,0.218098,0.218799,0.096198,0.15798,0.228664,0.194638,0.185317,0.172991,0.73303,0.032318,101
0,0.019842,0.021927,0.114647,0.179689,0.266701,0.012514,0.190229,0,0,0.204473,0.153354,0.302497,0.141626,0.059333,0.224758,0.119082,0.491835,0.235371,0.550608,0.025379,101
0.033549,0.133672,0.038795,0.192169,0.175677,0.175635,0.06259,0.165697,0.045985,0.006917,0.055657,0.250029,0.202283,0.177018,0.122096,0.246452,0.167526,0.329641,0.202901,0.674438,0.032438,101
0,0.121578,0.109152,0.043731,0.167266,0.143597,0.164896,0.082163,0.021201,0.015813,0.269437,0.149661,0.242196,0.230422,0.09382,0.146143,0.205078,0.240489,0.153684,0.725543,0.03635,101
0.032668,0.157855,0.106745,0.264377,0.288915,0.125648,0.208011,0.225427,0.078326,0.017092,0.166418,0.244406,0.11626,0.086647,0.046519,0.208223,0.131865,0.253227,0.230944,0.634852,0.033078,101
0.010172,0.195896,0.090383,0.046937,0.138098,0.089229,0.260824,0.103708,0.027812,0,0.223906,0.246783,0.208556,0.181593,0.085205,0.200848,0.170728,0.303549,0.229587,0.658923,0.035653,101
0.031037,0.07716,0.328266,0.069404,0.21309,0.078536,0.100526,0.159761,0.082249,0.023199,0.152253,0.22475,0.352674,0.14881,0.13259,0.092462,0.142071,0.271081,0.284682,0.603155,0.033844,101
0.094369,0.211478,0.140653,0.115561,0.188515,0.108251,0.179455,0.070399,0.059543,0.020377,0.273009,0.159217,0.270613,0.187723,0.079048,0.132939,0.168861,0.33656,0.275391,0.611303,0.035526,101
0.004477,0.095241,0.155926,0.037545,0.339966,0.098567,0.09146,0.154063,0.036019,0.027609,0.304114,0.138332,0.302999,0.157578,0.163145,0.054672,0.138341,0.241968,0.206842,0.652579,0.039233,101
0.110687,0.212276,0.330067,0.126515,0.230429,0.117172,0.126702,0.179539,0.103797,0.049335,0.170998,0.205408,0.266774,0.127417,0.165869,0.126637,0.074795,0.186255,0.308053,0.592025,0.036779,101
0.03809,0.13645,0.196517,0.060839,0.190934,0.166074,0.10784,0.197813,0.024033,0.00657,0.23218,0.232737,0.276282,0.221182,0.095717,0.251711,0.163381,0.246311,0.321622,0.569394,0.036514,101
0.003665,0.199208,0.269418,0.231203,0.252662,0.255927,0.201302,0.193755,0.022544,0.012326,0.287796,0.138096,0.11591,0.070093,0.050648,0.181844,0.21616,0.261053,0.262545,0.534108,0.035322,101
0.012215,0.344599,0.144043,0.220183,0.132493,0.108618,0.345844,0.419808,0.044589,0.014999,0.274079,0.146986,0.12102,0.050732,0.030695,0.044428,0.118722,0.102873,0.288092,0.508651,0.034657,101
0.00412,0.212044,0.140809,0.284588,0.311001,0.125089,0.25359,0.270828,0.120866,0.026943,0.301672,0.149537,0.078354,0.107164,0.033645,0.116661,0.102857,0.148421,0.219574,0.60043,0.042114,101
0,0.14838,0.114368,0.32443,0.316748,0.159667,0.122952,0.177676,0.017565,0.016183,0.150275,0.210271,0.158618,0.197212,0.05441,0.227154,0.154458,0.229634,0.247729,0.601101,0.043366,101
0.007578,0.17867,0.128155,0.153322,0.167553,0.230109,0.10413,0.062187,0.036658,0.014475,0.309791,0.138124,0.139802,0.316959,0.133305,0.233637,0.138755,0.435743,0.268243,0.4909,0.036399,101
0.068083,0.154038,0.286412,0.130496,0.140779,0.143122,0.252126,0.0504,0.065427,0.047756,0.106716,0.254245,0.235984,0.216373,0.171088,0.187223,0.105916,0.219561,0.286814,0.610652,0.046502,101
0.057008,0.178622,0.253555,0.078498,0.135538,0.199965,0.157367,0.103388,0.031629,0.012489,0.133523,0.276167,0.211531,0.106786,0.103739,0.311542,0.147246,0.31871,0.296192,0.573034,0.044786,101
0,0.250078,0.139203,0.267025,0.14221,0.231323,0.189264,0.235615,0.052073,0.013444,0.100315,0.179429,0.127197,0.098762,0.079766,0.259499,0.157187,0.277241,0.228897,0.616861,0.049448,101
0.034814,0.142956,0.111579,0.117954,0.173097,0.131338,0.136289,0.07083,0.015975,0.006308,0.170182,0.159608,0.25808,0.213087,0.119298,0.270795,0.221258,0.366263,0.25088,0.615046,0.050535,101
0.004309,0.162951,0.141726,0.125608,0.272653,0.209347,0.212916,0.148271,0.053017,0.010468,0.237802,0.146861,0.160293,0.191215,0.138061,0.120906,0.205761,0.299908,0.213525,0.628042,0.052861,101
0.01444,0.226371,0.114621,0.140167,0.316048,0.060713,0.271063,0.20261,0.046258,0.03238,0.334807,0.16498,0.122331,0.113884,0.036288,0.114284,0.19553,0.094594,0.207751,0.647607,0.055806,101
0.002771,0.164432,0.128646,0.203562,0.147497,0.132498,0.159839,0.220116,0.017044,0.004659,0.18034,0.07984,0.097821,0.077369,0.069622,0.086375,0.124514,0.181485,0.180674,0.807609,0.035606,102
0,0.135655,0.081473,0.11995,0.192337,0.247211,0.202263,0.134298,0.041183,0.014164,0.163869,0.130298,0.124789,0.09236,0.086421,0.086795,0.06659,0.09195,0.186374,0.818352,0.0369,102
0,0.136448,0.138895,0.187051,0.099857,0.145098,0.236318,0.201837,0.016561,0.022134,0.147618,0.161128,0.121929,0.107106,0.074416,0.114006,0.097464,0.15651,0.234433,0.784755,0.036171,102
0,0.152034,0.104612,0.189853,0.163539,0.180459,0.135875,0.19638,0.023822,0.044421,0.149397,0.147241,0.083759,0.082381,0.054467,0.079927,0.121328,0.162592,0.1913,0.815252,0.038393,102
0.002734,0.162969,0.123414,0.195404,0.156278,0.172246,0.191678,0.153721,0.040104,0.004597,0.166343,0.123853,0.134732,0.143274,0.066981,0.039064,0.093,0.165647,0.208857,0.796899,0.038328,102
0,0.105675,0.118123,0.155144,0.259159,0.257015,0.148616,0.163035,0.057783,0.006741,0.1345,0.085741,0.109067,0.05202,0.04533,0.055517,0.090943,0.177245,0.157074,0.808964,0.039718,102
0,0.176439,0.10515,0.188585,0.222035,0.093895,0.159078,0.212332,0.041238,0.009455,0.165082,0.128915,0.085666,0.05377,0.070642,0.066461,0.081593,0.131203,0.17719,0.819445,0.041054,102
0.087644,0.171455,0.226089,0.122744,0.202868,0.11185,0.154276,0.108733,0.030054,0.067407,0.102451,0.23159,0.133743,0.073858,0.060646,0.114181,0.102278,0.232974,0.288566,0.740524,0.037842,102
0.042274,0.133913,0.175504,0.136099,0.129131,0.248702,0.094084,0.101261,0.011253,0.052826,0.112161,0.12702,0.135211,0.201135,0.092952,0.148955,0.103075,0.231485,0.23052,0.770173,0.040129,102
0.051035,0.232759,0.116653,0.086675,0.158993,0.051001,0.248228,0.111324,0.042798,0.042491,0.17917,0.186879,0.139027,0.087977,0.12013,0.096002,0.116939,0.194659,0.279793,0.753245,0.040002,102
0.026465,0.136806,0.199421,0.146838,0.222465,0.143802,0.108428,0.132486,0.034275,0.004685,0.08771,0.139717,0.10158,0.119357,0.105008,0.072376,0.070425,0.232668,0.173411,0.812058,0.043939,102
0.012036,0.084779,0.178977,0.076894,0.189071,0.101036,0.126637,0.16478,0.012061,0.020108,0.204368,0.140458,0.14254,0.037916,0.03736,0.139788,0.090149,0.185502,0.186573,0.825484,0.045492,102
0.002701,0.138314,0.229928,0.11001,0.156759,0.06356,0.142405,0.12694,0.044734,0.031291,0.209254,0.11563,0.203218,0.055795,0.142534,0.08561,0.075024,0.194621,0.230972,0.787329,0.044179,102
0,0.201543,0.128444,0.218442,0.14717,0.159253,0.186925,0.101033,0.016336,0.021833,0.117429,0.159675,0.152362,0.094475,0.123454,0.08624,0.094482,0.200046,0.240901,0.774091,0.044211,102
0.085275,0.159806,0.151346,0.099158,0.256019,0.043501,0.168731,0.216801,0.050361,0.048441,0.178589,0.128541,0.110399,0.055326,0.015429,0.059552,0.084314,0.172048,0.218244,0.795445,0.046228,102
0.046334,0.169227,0.088265,0.124105,0.226454,0.140692,0.117276,0.193831,0.022938,0.060206,0.132138,0.114956,0.145019,0.053447,0.046574,0.0563,0.127255,0.100393,0.200136,0.831161,0.049137,102
0.030144,0.136016,0.109573,0.100674,0.267869,0.081131,0.173986,0.219255,0.062246,0.060424,0.163836,0.101751,0.135921,0.070238,0.05337,0.055533,0.067567,0.195218,0.211201,0.798824,0.048025,102
0.034658,0.149266,0.06616,0.170502,0.181487,0.067352,0.120162,0.28156,0.041986,0.037303,0.227558,0.123692,0.09236,0.059397,0.04703,0.058348,0.098648,0.143028,0.195233,0.808224,0.0494,102
0.037857,0.219404,0.154906,0.277317,0.167478,0.095132,0.203958,0.22934,0.035829,0.028296,0.129306,0.106707,0.152541,0.108865,0.063968,0.004748,0.064372,0.064134,0.243123,0.761057,0.04728,102
0,0.217041,0.121137,0.260374,0.14754,0.193512,0.212585,0.126863,0.044443,0.026073,0.132897,0.141643,0.08854,0.112915,0.050573,0.059257,0.06951,0.142817,0.208305,0.782194,0.049377,102
0,0.199595,0.090202,0.262395,0.156618,0.184305,0.214172,0.20007,0.038713,0.019232,0.21379,0.099084,0.069883,0.080763,0.014921,0.067877,0.089776,0.1491,0.201616,0.769271,0.049332,102
0,0.246675,0.207597,0.165415,0.130107,0.164241,0.184271,0.233986,0.037458,0.017256,0.244553,0.084078,0.047689,0.053496,0.036467,0.034275,0.100464,0.149073,0.182985,0.769129,0.050094,102
0.050696,0.202074,0.0842,0.185245,0.113948,0.044283,0.246147,0.245569,0.034178,0.068518,0.142493,0.108147,0.08261,0.073324,0.045374,0.096709,0.089299,0.086434,0.20943,0.809755,0.053551,102
0.00907,0.173691,0.138582,0.166041,0.057237,0.108042,0.157152,0.065579,0.02245,0.010951,0.090827,0.131071,0.233139,0.100352,0.10344,0.100055,0.12542,0.191947,0.224756,0.813491,0.054613,102
