Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2,class
0.550562,0.321839,1,1,0.636364,0.247312,0.353535,cp
0.078652,0.034483,1,1,0.613636,0.365591,0.444444,cp
0.629213,0.034483,1,1,0.556818,0.387097,0.464646,cp
0.662921,0.551724,1,1,0.590909,0.473118,0.363636,cp
0.258427,0.356322,1,1,0.625,0.258065,0.353535,cp
0.752809,0.436782,1,1,0.409091,0.397849,0.464646,cp
0.325843,0.310345,1,1,0.5,0.236559,0.343434,cp
0.235955,0.37931,1,1,0.579545,0.290323,0.393939,cp
0.022472,0.494253,1,1,0.522727,0.537634,0.575758,cp
0.47191,0.034483,1,1,0.636364,0.182796,0.030303,cp
0.47191,0.264368,1,1,0.647727,0.27957,0.373737,cp
0.280899,0.54023,1,1,0.5,0.172043,0.292929,cp
0.438202,0.356322,1,1,0.522727,0.247312,0.353535,cp
0.573034,0.045977,1,1,0.522727,0.333333,0.353535,cp
0.247191,0.482759,1,1,0.545455,0.16129,0.282828,cp
0.280899,0.034483,1,1,0.522727,0.462366,0.525253,cp
0.382022,0.505747,1,1,0.431818,0.247312,0.353535,cp
0.494382,0.298851,1,1,0.625,0.548387,0.585859,cp
0.258427,0.034483,1,1,0.443182,0.290323,0.383838,cp
0.460674,0.643678,1,1,0.443182,0.215054,0.323232,cp
0.044944,0.505747,1,1,0.431818,0.225806,0,cp
0.348315,0.252874,1,1,0.829545,0.043011,0.141414,cp
0.573034,0.609195,1,1,0.465909,0.354839,0.434343,cp
0.033708,0.172414,1,1,0.636364,0.107527,0.232323,cp
0.404494,0.436782,1,1,0.545455,0.225806,0.232323,cp
0.325843,0.413793,1,1,0.545455,0.462366,0.525253,cp
0.280899,0.034483,1,1,0.534091,0.344086,0.424242,cp
0.235955,0.574713,1,1,0.056818,0.333333,0.414141,cp
0.483146,0.413793,1,1,0.602273,0.365591,0.444444,cp
0.483146,0.436782,1,1,0.534091,0.322581,0.414141,cp
0.595506,0.425287,1,1,0.5,0.268817,0.363636,cp
0.382022,0.367816,1,1,0.431818,0.365591,0.444444,cp
0.629213,0.574713,1,1,0.386364,0.387097,0.464646,cp
