f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,class
0.800001,0,0.028926,0.015873,1,0,0.214286,0.571429,1,1,0,1,1,1,0,0.142857,0,0,0,0,0.02,0,0,1,0,0,0.833331,0.142857,2
0.400001,0,0.001294,0.002976,0.555554,0,0,0.285715,1,0,0,1,0,1,0,0,0,0,0,0,0.02,0,0,0,1,0,0,0,6
0.600001,0,0.106598,0.019841,0.777776,0.4,0,0.285715,1,1,0,0,1,0,0,0.142857,0,0,0,0,0.02,1,0,0,0,0,0.166666,0.571429,2
1,0.666667,0,0,0,0,0,0.571429,1,0,1,1,1,0,1,0.285715,0,0,0,0,0,0,1,1,1,0,0.333333,0,1
0.400001,0,0,0,0.555554,0.6,0,0.285715,1,0,1,1,0,0,0,0.428572,0,0,0,0,0,0,0,0,0,0,0.333333,0,0
0.600001,0.333333,0.055665,0.006944,1,0,0.142857,0.285715,1,0,0,1,0,1,0,0,0,0,0,0,0.02,0,0,1,0,0,0,0.714285,5
0,1,0,0,0,0,0.071429,0.285715,0,0,1,0,1,0,1,0.571429,0,0,0,0,0,0,0,0,1,0,0.666666,0.285714,1
0,1,0,0,0,0,0.071429,0.571429,1,0,1,1,1,1,0,0,0,0,0,0,0.02,0,1,0,0,0,0.833331,0,1
0.200001,0.666667,0.123962,0.027778,0.11111,0,0.214286,0.142857,0,0,1,0,1,0,0,0.285715,0,0,0,0,0,0,0,0,0,0,0.333333,0.285714,0
0.200001,0.666667,0.123962,0.027778,0.11111,0,0.214286,0.285715,0,0,1,1,1,0,0,0.285715,0,0,0,0,0.02,0,0,0,0,0,0.333333,0.285714,0
1,0.333333,0.343273,0.014881,0,0,0,0.285715,1,0,1,0,1,0,0,0.285715,0,0.499999,1,0.25,0.12,0,0,0,0,0,0.666666,0.285714,1
0.400001,0,0.00375,0.007937,0.333332,0,0.214286,0.142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.000848,0,0,0,0.214286,0.285715,0,0,1,1,0,1,0,0.285715,0,0,0,0,0,0,1,0,0,0,0.333333,0.285714,1
0.800001,0,0.000045,0,0.777776,0,0,0.142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666,0,2
0.800001,0,0.006383,0.089286,0.555554,0,0,0.142857,1,1,0,0,0,0,0,0.142857,0.249999,0,0,0,0,0,0,0,0,0,0.166666,0.142857,2
0,1,0,0,0,0.6,0,0.285715,0,0,1,1,0,1,0,0.285715,0,0,0,0,0,0,0,1,0,0,0.333333,0.285714,1
0.400001,0,0.001384,0.009921,0.555554,0.6,0,0.285715,1,0,0,1,0,1,0,0.428572,0,0,0,0,0,0,0,0,0,0,0.833331,0,0
0,1,0.001027,0,0,0,0.142857,1,1,1,1,1,1,1,1,0.285715,0.249999,0,0,0,0,0,0,1,1,1,0,0,1
0.600001,0,0.005044,0.002976,0.222221,0,0,0.142857,1,1,0,0,0,0,0,0.142857,0,0,0,0,0.02,0,0,0,0,0,0.166666,0.142857,5
0,1,0,0,0,0,0,0.714286,1,1,1,1,1,1,0,0,0.249999,0.499999,1,0.25,0,0,0,1,1,0,0.666666,0,1
0.800001,0,0.002098,0.000992,1,0,0,0.428572,1,0,0,0,1,1,1,0.857145,1,0,0,0,0,0,0,0,1,0,1,0,3
0.200001,0.666667,0.049058,0.005952,0.11111,0,0.214286,0.285715,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0
0.600001,0.333333,0.026783,0.000992,1,0,0.357143,0.285715,0,0,1,0,1,1,0,0.285715,0,0,0,0,0,0,0,0,0,0,0.333333,0.285714,5
0.200001,0.666667,0.379966,0.118055,0.555554,0,0,0.428572,0,1,1,1,1,0,0,0.142857,0.249999,0,0,0,0.44,0,0,0,0,1,0.166666,0.142857,0
0,1,0,0,0,0,0,0.714286,1,1,1,1,1,0,1,0.285715,0,0.499999,1,0.25,0,0,0,1,1,1,0.666666,0.285714,1
0.800001,0,0.000268,0,1,0,0,0.428572,1,0,0,1,1,1,0,0.428572,0,0,0,0,0,0,1,1,1,1,0.666666,0.428571,2
0.400001,0,0.004955,0.008929,0.444443,0,0.214286,0.571429,1,1,1,1,1,0,0,0,0,0,0,0,0.02,0,0,1,1,0,0.666666,0,6
0.600001,1,0.012231,0.006944,0.222221,0,0.142857,0.285715,1,1,0,1,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.142857,5
0.800001,0,0.030265,0.034722,1,0,0,0.285715,1,0,1,0,1,0,0,0,0,0,0,0.25,0.28,0,0,1,1,0,0.333333,0,3
0.600001,0.333333,0.00125,0.003968,1,0,0,0.285715,1,1,0,0,1,0,0,0,0.249999,0,1,0,0.06,0,0,0,0,0,0.666666,0.571429,5
0.600001,0,0.021159,0.007937,0.222221,0.6,0,0.285715,1,1,0,1,0,0,0,0.428572,0,0,0,0,0.02,0,0,0,0,0,0.166666,0.428571,1
0,1,0.445318,0.02381,0,0.4,0,0.142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.600001,1,0.000179,0,0.555554,0.2,0.142857,0.571429,1,1,0,1,0,1,1,0.428572,0,0,0,0,0.02,0,0,0,1,0,0,0.142857,0
0,1,0,0,0,0,0,0.714286,1,1,1,1,1,0,1,0.285715,0.249999,0.499999,1,0.25,0.08,0,0,1,1,1,0.666666,0.285714,1
0.600001,0,0.02781,0.001984,1,0.2,0,0.571429,1,1,1,1,1,0,0,0.428572,0,0,0,0,0.02,0,0,0,0,0,0.333333,0.428571,5
0.600001,0,0.057316,0.003968,0.222221,0.6,0,0.285715,1,0,1,1,0,0,0,0.428572,0,0,0,0,0,0,0,0,0,0,0.333333,0,5
0.200001,0.666667,0.033792,0.010913,0.11111,0,0.142857,0.285715,1,0,1,0,1,0,0,0,0,0,0,0.25,0.02,0,0,0,0,0,0.333333,0,0
0.800001,0,0.426792,1,0.666665,0,0,0.142857,1,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,6
0.200001,1,0.050844,0.027778,0.11111,0,0.214286,0.285715,1,0,1,1,0,0,0,0.428572,0,0,0,0,0,0,0,0,0,0,0.499999,0,0
