f1,f4,f8,f12,f13,f14,f19,f24,f28,f30,f32,f35,f36,f50,f52,f53,f54,f60,f66,f74,f76,f81,f82,f86,f89,f90,class
0.839088,0.309366,0.314465,0.249999,0.687644,0.216563,0.353078,0.626228,0.983097,0.974639,0.854163,0.285353,0.518385,0.282485,0.286889,0.840543,0.325813,0.262347,0.646073,1,0.835072,0.311162,0.579755,0.41691,0.63619,0.327175,0
0.698856,0.168749,0.172964,0.155054,0.643355,0.143316,0.421795,0.268845,0.569011,0.692952,0.776787,0.047146,0.879589,0.180795,0.144813,0.644648,0.16129,0.277773,0.331464,0.201804,0.256545,0.150217,0.659503,0.810497,0.167318,0.781002,0
0.749427,0.118746,0.122646,0.123422,0.687644,0.114645,0.367302,0.508201,0.847888,0.907041,0.904755,0.255578,0.591969,0.214684,0.202189,0.835997,0.212907,0.2716,0.724719,0.750001,0.544502,0.510727,0.303686,0.279877,0.780154,0.308709,0
0.563224,0.237492,0.242137,0.227852,0.503489,0.194262,0.225114,0.442622,0.802813,0.898584,0.883927,0,0.648823,0.138412,0.174864,0.710704,0.229031,0.188266,0.407307,0.608429,0.602087,0.160944,0.549078,0.399416,0.488332,0.269133,0
0.689657,0.321867,0.323906,0.303795,0.61771,0.296181,0.414689,0.826223,0.95775,0.833797,0.681543,0.516132,0.341135,0.378527,0.29508,0.920273,0.26451,0.206786,0.564612,0.948797,1,0.448499,0.911043,0.644322,0.529179,0.382582,0
0.882765,0.309366,0.314465,0.490498,0.755239,0.595542,0.421795,0.590167,0.464784,0.39155,0.339286,0.45658,0.414719,0.316387,0.213119,0.965837,0.187098,0.475307,0.74439,0.33735,0.251309,0.478542,0.57668,0.690961,0.836572,0.591025,0
0.742534,0.718755,0.729566,0.699363,0.710951,0.601912,0.504735,0.577051,0.864791,0.954925,0.964284,0.178654,0.725744,0.51977,0.565572,0.872433,0.696777,0.46296,0.629218,0.83433,0.75392,0.268238,0.708586,0.620996,0.556417,0.543539,0
0.813797,0.615628,0.534595,0.348102,0.529134,0.401279,0.246444,0.881958,0.760563,0.667604,0.58631,0.540943,0.448152,0.564971,0.431689,0.772213,0.48387,0.425933,0.665732,0.822295,0.599475,0.439912,0.506129,0.562682,0.710119,0.60158,0
0.81609,0.656249,0.490566,0.329113,0.552441,0.30573,0.267773,0.619671,0.870424,0.859156,0.67559,0.401981,0.438125,0.581922,0.554643,0.906611,0.587104,0.425933,0.620784,0.789153,0.68324,0.358369,0.521475,0.518953,0.678988,0.543539,0
0.777013,0.596876,0.559754,0.395568,0.587414,0.423567,0.291467,0.767216,0.853522,0.794369,0.678573,0.444175,0.454842,0.615823,0.543713,0.7631,0.506459,0.447533,0.775286,0.813252,0.594239,0.454934,0.506129,0.533525,0.714011,0.606857,0
0.829889,0.543754,0.559754,0.430374,0.736596,0.375799,0.421795,0.55082,0.777466,0.808448,0.755947,0.339953,0.384609,0.567803,0.551916,0.890664,0.622584,0.302467,0.452255,0.75903,0.714655,0.186694,0.733128,0.533525,0.529179,0.456467,0
0.887354,0.599995,0.584913,0.512659,0.81352,0.468156,0.568723,0.498357,0.678873,0.735215,0.794646,0.287842,0.722407,0.471749,0.519127,0.929386,0.658064,0.549387,0.536519,0.572295,0.557587,0.223172,0.809814,0.711377,0.507785,0.517152,0
